date,snippet
2016-01-06,"Heres what you need to know to start your day Monday A best of the Bay Area roundup, a fatal tour bus accident near Palm Springs, and a look back at the first iPod Results from consumer companies dragged the stock market lower on Tuesday as wellknown names like Whirlpool and Under Armour suffered their worst losses in years A look at where the ATT deal leaves other prominent media companies and what some think they might attempt to do in response The president, who has advocated cuttingedge research and built relationships with Silicon Valley companies, may be preparing for a role in the technology sector Heres what you need to know to start your day His administration embraced some of the tech industrys best ideas  but also some of its worst values The United States has put artificial intelligence at the center of its defense strategy, with weapons that can identify targets and make decisions Heres what you need to know to start your day ATT and Time Warner have opened up about their deal  the primary point of concern between the two companies was price, and even regulatory issues were less of a problem Theyve both used anger to motivate followers  but in very different ways Angie Mar, the chef and owner of this West Village restaurant, mines history for forgotten indulgences that satisfy innate cravings Heres what you need to know to start your day If the companys forecast is accurate, it will mark a turnaround from what has been a disappointing year for the Silicon Valley giant After a dispute between prosecutors in Brooklyn and Washington led to an overhaul, experts say there could be complications in the case Reassigning the federal investigation was the best way to end an impasse over the legality of New York police officers deadly actions The wedding was set, but first, a barbecue road trip, from Pennsylvania to Tennessee, with pork, ribs, brisket and no shortage of debate The ATT deal with Time Warner comes during what could be a new era for competition law, as a new generation of legal scholars concentrate on different facets of mergers"
2016-01-07,"An ad campaign for the Sapphire Reserve credit card features the latenight host James Corden talking to innovators in dining, transportation and lodging Shares of BE Aerospace soared after the company agreed to be acquired by Rockwell Collins The rapper said a new release, which he called a playlist rather than an album, would arrive in December ATTs  billion deal for Time Warner is a ploy to do something  anything  in the face of a rapidly changing media landscape Heres what you need to know to start your day Jeffrey L Bewkes, the telecom giants chief executive, stuck to his guns over the years, confident that his company would get the deal it deserved"
2016-01-08,"In the case of Giants kicker Josh Brown, the league has showed that it hasnt learned much since its mishandling of the Ray Rice case A sixgame suspension was introduced after the Ray Rice case, but several players, including Giants kicker Josh Brown, have avoided punishment of that length Tech is seeping into everything  but feels blindsided when its politics are called into question Also, the Apple car and a shortterm Twitter hire The withdrawal of the Galaxy Note , because it is prone to catch fire, is a source of humiliation to many in a country that had prided itself on the companys success Apples report will offer the first look at sales of the iPhone  and the extra business it is getting since Samsungs troubles with the Galaxy Note  Russia keeps inching into Georgia with ever more ingenious boundary markings that only it and three other nations recognize as real The bride and groom met at the University of Maryland, when each was studying for an MBA"
2016-01-09,"This is high agritainment season Get in the car, gather up some pumpkins and apples, and go bananas Some residential buildings in New York have been infusing lobbies, hallways and fitness centers with fragrances to entice buyers and renters A deal would give the giant TV distributor and internet provider a collection of programming like HBO and movies like Suicide Squad"
2016-01-10,"Rei Kawakubo will be only the second living designer ever recognized with a solo show at the Costume Institute, a potentially gamechanging decision Mr Bunnell rode the early wave of personal computers, establishing PC Magazine, Macworld and other magazines and contributing to the industrys explosive growth A group sets out to preserve early digital works that are in danger of fading away"
2016-01-11,"A listing of discussions, film screenings, cultural activities and walking tours in New York City To answer that question, we talked to a dozen young New Yorkers, who told us their stories and shared videos shot on their phones"
2016-01-12,"A condo in New Orleans, a contemporary in Basalt, Colo, and a shinglestyle house in York, Me Pierre Audis production of Rossinis final masterpiece falls into some traps But there is much to celebrate in the performances The epic poem by Ludovico Ariosto, published in  in Ferrara, Italy, is celebrated in an exhibition in one of the citys finest palaces For , the SUV gets new wheels and fresh fascias front and rear The interiors center stack and many underhood components are new, too Know your audience, experts say, and dont just repeat what you say in your rsum"
2016-01-13,"Chumleys returns with a new menu, Flora Bar opens at the Met Breuer, and more restaurant news In a chat with Whitneys Julien Ehrlich, the pop legend discusses his unusual road to fatherhood, music he loves now  and Bob Dylans Nobel Prize Its time to stop companies  like Amazon, Boeing and CocaCola  from damaging the economy by legally shirking taxes The companys decision to exclude China from an initial recall has prompted a backlash that could further erode its position in the important market As technology advances and global business becomes the norm, companies must embrace new ways of working to stay competitive But how far can we push it A Silicon Valley dad decided to test his theories about parenting by turning his yard into a playground where children can take physical risks without supervision Not all of his neighbors were thrilled"
2016-01-14,"In March, a hacked email shows, Mrs Clinton was presented with a first cut list of vicepresidential prospects by her campaign chairman To start cooking, it doesnt take anything fancier than this short list of pans and utensils"
2016-01-15,"Big, Small, American, Chinese Different stocks produced outstanding results for investors and the funds that hold them The dismissal of Bruce Eugene, the coach of the Grand Street Campus Wolves in Brooklyn, has locked players, parents and administrators in a bitter dispute The billionaire investor, the only prominent supporter of the Republican candidate in the tech community, joins a very short list of large Trump contributors Sometimes people forget that old guys can be geeks This week How Samsung helped Apple, will Verizon win a discount, and a new riff on a classic excuse The Pixel, which uses Android software and Assistant, an AI virtual assistant, is, relatively speaking, mediocre, but fans of Android wont regret buying one Every iCloud user gets five free gigabytes of server space from Apple, but when space gets tight, you either have to prune or pay"
2016-01-16,Twitter shares tumbled as few dealmaking options remained
2016-01-17,"Shares of mining companies and other suppliers of basic materials, which rely heavily on exports to China, fell along with tech stocks There are many ways to transfer pictures from a Googlebased phone to an Apple computer Friday Registering for elections, a Dog Film Festival, and brass bands taking to the streets New books by Louise Miller, Caroline Angell, Jane L Rosen and Sally Thorne In Messy, Tim Harford writes about the power of ignoring rules and being flexible even when you dont want to"
2016-01-18,"The South Korean manufacturer is juggling safety problems with other goods, including washing machines, microwaves and refrigerators Mr Trumps claims highlight concerns that he may not accept a Clinton victory, potentially undermining the legitimacy of the election and the democratic process Thanksgiving is still weeks away, but some fanatics are already gearing up for rehearsal meals You may wish to join them A select guide to cultural events for children, teenagers and families Crossovers and SUVs have become the kings of the road, but there is something satisfying about driving a coupe The C also throws in some luxury"
2016-01-19,"Many residents of Hazleton, Pa, who are losing ground, including Democrats, back Mr Trump Many who are prospering, including Republicans, support Clinton The Russian military is using lifesize decoy tanks, jets and missile launchers for disguise and deception"
2016-01-20,"A new service offering tens of millions of songs will cost customers as little as  per month if they listen through the Echo device Samsung is arguing that it shouldnt have to give up all its profit from the sale of phones that copy only part of the look of an Apple iPhone My disease carries an extra burden  the perception that Ive brought it on myself Strategies for talking to your children about a healthful diet while avoiding minefields like weight or looks When you decide its time to close your account and move on to another mail service, make sure you get all the files you need before you go Mountainringed and progressively minded, the city that calls itself Land of the Sky is renowned for its creative spirit"
2016-01-21,"iTunes Movies US charts for week ending October ,  App Store Official Charts for the week ending October ,  Instructions on where to get a refund or replacement phone were posted in an obscure spot on the Samsung home page They were not on social media sites Louis Benech looks back on his seminal projects, testaments to his glorious gift and to the constant, occasionally heartrending, effects of time Salesforce is still in talks to buy Twitter, according to two people involved in the discussions, despite some of Salesforces largest shareholders indicating that they are against the deal Shares of the genetics research company Illumina dropped after the company announced thirdquarter revenue below what analysts were looking for"
2016-01-22,"The following list represents the most viral tracks on Spotify, based on the number of people who shared it divided by the number who listened to it, from Friday Sept , to Thursday Oct , via Facebook, Tumblr, Twitter and Spotify"
2016-01-23,"The unprecedented move by the South Korean electronics giant is an embarrassing reversal for a respected global brand Vice Media launched a daily newscast Monday designed to appeal to younger viewers with colorful graphics, a light musical soundtrack, no oncamera newsreader and reports on topics ranging from the second presidential debate to a strike by prison i Europe should challenge the United States over its increasingly aggressive use of extraterritorial laws that have cost European companies  especially banks  billions in fines and other settlements, a French parliamentary report said The latest on developments in global financial markets all times local The Supreme Court raised serious doubts Tuesday about a  million judgment against smartphone maker Samsung for illegally copying parts of the patented design of Apples iPhone"
2016-01-24,"Samsung will recall all Galaxy Note  smartphones sold in mainland China, amounting to around , units, Chinas product safety regulator said Tuesday, in another setback for the tech giant in the worlds largest smartphone market"
2016-01-25,"iBook charts for week ending October ,   Rank, Book Title by Author Name, ISBN, Publisher  In Iraq and Israel, fresh dates are the fruit of the new year, eaten in the way American Jews eat apples dipped in honey for Rosh Hashana Apples are eaten as well, but theyre cooked in sugar and cardamom Some Iraqi Jews substitute rose water fo The move is a major setback for the worlds largest producer of smartphones, which had been gaining ground against Apple in the highend market Benchmark United States crude rose  percent, to  a barrel, its highest close since July  Investors also reacted to the presidential race Samsung Electronics Co Ltd scrapped its flagship Galaxy Note  smartphone on Tuesday less than two months after its launch, dealing a huge blow to its reputation and outlook after failing to resolve safety concerns   The US is looking for multibillion dollar penalties from Germanys biggest bank and its biggest carmaker The European Union is demanding similarly large sums from Americas most valuable tech company, Apple"
2016-01-26,"Stocks that moved substantially or traded heavily Monday Hyundai and BMW customers are the most satisfied with their invehicle technology, but those brands and others still need to work on educating drivers about what their cars can do, according to a new survey by the market research company JD Powe Verizon Communications Inc, the largest US wireless carrier, may shift marketing away from Samsung Electronics Co Ltds troubled Galaxy Note  mobile phone heading into the critical holiday selling season, a company spokeswoman said on Monday  Samsung said Tuesday it is halting sales of the starcrossed Galaxy Note  smartphone after a spate of fires involving new devices that were supposed to be safe replacements for recalled models"
2016-01-27,"The Green Bay Packers got pushy on both sides of the line of scrimmage against the New York Giants After five years of litigation, the US Supreme Court will hear arguments on Tuesday in the bitter patent dispute between the worlds two top smartphone manufacturers over the amount Samsung should pay Apple for copying the iPhones distinctive l US stocks rose on Monday as energy shares gained with oil prices and as Apple jumped due to rival Samsung Electronics worsening smartphone recall crisis Twitter Incs shares slumped more than  percent in early trading on Monday after a weekend Bloomberg report that top potential bidders, including Salesforcecom Inc,  had lost interest in making a bid for the company The latest on developments in global financial markets all times local EU regulators who are investigating whether Alphabet unit Google is abusing its market power have has not extended their scrutiny to its tax deals with national authorities across Europe, the EUs antitrust chief  said on Monday Vice Media launched a daily newscast Monday designed to appeal to younger viewers with colorful graphics, a light musical soundtrack, no oncamera newsreader and reports on topics ranging from the second presidential debate to a strike by prison i Apple Incs stock on Monday jumped  percent, reaching a high not seen since December, after rival Samsung Electronics Co Ltd suspended production of its flagship Galaxy Note  smartphones following reports of fires in replacement devices Samsung Electronics Co Ltd halted sales of its Galaxy Note  smartphones on Tuesday and told owners to stop using them while it investigates reports of fires, fuelling expectations the tech giant will scrap the flagship device"
2016-01-28,"Mike calls Yahoos surveillance predicament a flaming garbage fire and hopes Alexa and her AI ilk are friendlier than HAL Soon, Farhad will be in Asia The Latest on the fifth week of the NFL season all times Eastern Samsung Electronics seemed to have its smartphone troubles under control  until authorities had to evacuate a Southwest Airlines flight in Kentucky last week for an incident that involved a replacement phone In a village in the Austrian Alps, Swarovski, which has been making crystals for more than a century, is refashioning itself as a tech company iO Tillett Wrights debut memoir, Darling Days, is about growing up in the bohemian East Village of the s and s Choosing a voice, which is often young and female, in conversational computing has implications for design, branding or interacting with machines The Green Bay Packers appear to have the makings of a defense that could power a deep run into the playoffs Monday Trained clinicians will assist San Francisco officers, a town reels under a  million pension bill, and Desert Trip wraps up its first weekend with the legends of rock The senator from Oregon, a leading figure in the debate over encryption, talks of three issues Congress will face after the election Heres what you need to know at the end of the day The justices will hear arguments about whether Samsung must pay Apple about  million for copying part of the iPhones design Sony will offer the  PlayStation VR"
2016-01-29,"Heated meetings, sacrificed holidays and teams monitoring social media roundtheclock to track whether there have been any new smartphone fires Samsung Electronics is still desperately trying to limit the damage of a record global recall announc If the recent Wells Fargo scandal has left you disenchanted with giant banks and ready to switch to a smaller one or a credit union, heres what you should know To make acquisitions, Salesforce relies on stock and therefore needs to keep its shareholders happy And they are not interested in a Twitter deal Suitors are falling away, and there is no way conventional financial analysis can help any company rationalize an acquisition of the company A US senator and civil groups critical of surveillance practices on Friday called on the government to release a  order by a secret court directing Yahoo to scan all its users incoming email, saying it appeared to involve new interpretation"
2016-01-30,"Deutsche Bank has secured backing from its largest investor and is seeking advice from other banks as it scrambles to restore market confidence undermined by a demand by US authorities for up to  billion over misselling allegations Googles new Pixel smartphone is off to a fast marketing start with  million in television ads in two days since it announced the upcoming launch, and ad executives expect Google to spend hundreds of millions more to keep up with rivals Sams The presidential candidates have not said how they would strike the proper balance between privacy and security"
2016-01-31,"A month into the NFL season and weve learned that the Broncos think they could be the  Bears on defense  and the  Denver team that repeated as Super Bowl champions Sony Corps image sensor production will return to full capacity in the OctoberMarch halfyear due to a pickup in smartphone demand, having spent part of the past year running just under full strength, the head of its chipmaking subsidiary said A federal appeals court on Friday reinstated a  million jury award for Apple Inc against Samsung, marking the latest twist in the fierce patent war between the worlds top smartphone manufacturers How a state with some of the mildest politics in the South became a magnet for national partisanship"
2016-02-01,"They also dont want anyone to talk about it, a fact that has riled a number of tech companies that are chafing under gag orders Fall cooking has us ready for pies, stews and more If you like the trackpad shortcuts on Apples laptops, you can use many of the same moves on an external trackpad for your desktop computer"
