Date,Open,High,Low,Close,Adj Close,Volume
2016-05-27,51.919998,52.320000,51.770000,52.320000,50.519001,17721400
2016-05-31,52.259998,53.000000,52.080002,53.000000,51.175594,37653100
2016-06-01,52.439999,52.950001,52.439999,52.849998,51.030754,25324800
2016-06-02,52.639999,52.740002,51.840000,52.480000,50.673492,22565300
2016-06-03,52.380001,52.419998,51.599998,51.790001,50.007248,23368300
2016-06-06,51.990002,52.349998,51.889999,52.130001,50.335541,18243300
2016-06-07,52.240002,52.730000,52.099998,52.099998,50.306572,20866800
2016-06-08,52.020000,52.439999,51.869999,52.040001,50.248638,21149400
2016-06-09,52.000000,52.000000,51.490002,51.619999,49.843094,20305700
2016-06-10,51.049999,52.049999,51.040001,51.480000,49.707916,25833200
2016-06-13,49.580002,50.720001,49.060001,50.139999,48.414040,83217800
2016-06-14,49.900002,50.099998,49.570000,49.830002,48.114712,42577100
2016-06-15,49.779999,50.119999,49.689999,49.689999,47.979530,33757600
2016-06-16,49.520000,50.470001,49.509998,50.389999,48.655434,31188600
2016-06-17,50.410000,50.430000,49.820000,50.130001,48.404388,45710500
2016-06-20,50.639999,50.830002,50.029999,50.070000,48.346451,35607900
2016-06-21,50.200001,51.430000,50.160000,51.189999,49.427895,34097800
2016-06-22,51.080002,51.459999,50.950001,50.990002,49.234787,28816800
2016-06-23,51.279999,52.060001,51.150002,51.910000,50.123112,29028800
2016-06-24,49.810001,50.939999,49.520000,49.830002,48.114712,133503000
2016-06-27,49.099998,49.150002,48.040001,48.430000,46.762909,50216300
2016-06-28,48.919998,49.470001,48.669998,49.439999,47.738140,38140700
2016-06-29,49.910000,50.720001,49.799999,50.540001,48.800270,31304000
2016-06-30,50.720001,51.299999,50.500000,51.169998,49.408588,28527800
2016-07-01,51.130001,51.720001,51.070000,51.160000,49.398933,21400400
2016-07-05,50.830002,51.279999,50.740002,51.169998,49.408588,24806400
2016-07-06,50.779999,51.540001,50.389999,51.380001,49.611359,28167500
2016-07-07,51.419998,51.610001,51.070000,51.380001,49.611359,19580800
2016-07-08,51.730000,52.360001,51.549999,52.299999,50.499691,28391000
2016-07-11,52.500000,52.830002,52.470001,52.590000,50.779709,22269200
2016-07-12,52.939999,53.400002,52.790001,53.209999,51.378365,27317600
2016-07-13,53.560001,53.860001,53.180000,53.509998,51.668034,25356800
2016-07-14,53.840000,53.990002,53.580002,53.740002,51.890121,24545500
2016-07-15,53.950001,54.000000,53.209999,53.700001,51.851498,32024400
2016-07-18,53.700001,54.340000,53.549999,53.959999,52.102547,31433900
2016-07-19,53.709999,53.900002,52.930000,53.090000,51.262497,53336500
2016-07-20,56.150002,56.840000,55.529999,55.910000,53.985424,89893300
2016-07-21,55.980000,56.230000,55.759998,55.799999,53.879208,32776700
2016-07-22,56.080002,56.630001,55.779999,56.570000,54.622700,32157200
2016-07-25,56.470001,56.740002,56.259998,56.730000,54.777195,25610600
2016-07-26,56.520000,57.290001,56.509998,56.759998,54.806164,28079000
2016-07-27,56.610001,56.799999,56.110001,56.189999,54.255779,32095300
2016-07-28,56.000000,56.369999,55.720001,56.209999,54.275093,37550400
2016-07-29,56.259998,56.759998,56.049999,56.680000,54.728916,30558700
2016-08-01,56.599998,56.750000,56.139999,56.580002,54.632366,26003400
2016-08-02,56.849998,56.900002,56.310001,56.580002,54.632366,35122000
2016-08-03,56.680000,57.110001,56.490002,56.970001,55.008938,22075600
2016-08-04,56.799999,57.520000,56.669998,57.389999,55.414478,26466400
2016-08-05,57.650002,58.209999,57.450001,57.959999,55.964851,29335200
2016-08-08,58.060001,58.090000,57.779999,58.060001,56.061413,19473500
2016-08-09,58.169998,58.500000,58.020000,58.200001,56.196598,16920700
2016-08-10,58.160000,58.320000,57.820000,58.020000,56.022789,15756900
2016-08-11,58.029999,58.450001,58.029999,58.299999,56.293148,18133800
2016-08-12,58.029999,58.189999,57.619999,57.939999,55.945541,21655200
2016-08-15,58.009998,58.500000,57.959999,58.119999,56.119343,19283900
2016-08-16,57.610001,57.619999,57.270000,57.439999,55.808434,20523500
2016-08-17,57.540001,57.680000,57.230000,57.560001,55.925026,18856400
2016-08-18,57.419998,57.700001,57.270000,57.599998,55.963890,14214300
2016-08-19,57.430000,57.730000,57.200001,57.619999,55.983322,17271000
2016-08-22,57.599998,57.750000,57.259998,57.669998,56.031902,15221900
2016-08-23,57.900002,58.180000,57.849998,57.889999,56.245655,18732400
2016-08-24,57.799999,58.040001,57.720001,57.950001,56.303947,18151500
2016-08-25,57.880001,58.290001,57.779999,58.169998,56.517700,18552600
2016-08-26,58.279999,58.700001,57.689999,58.029999,56.381680,20971200
2016-08-29,58.180000,58.599998,58.099998,58.099998,56.449688,16217900
2016-08-30,57.980000,58.189999,57.610001,57.889999,56.245655,16930200
2016-08-31,57.650002,57.799999,57.299999,57.459999,55.827866,20860300
2016-09-01,57.009998,57.820000,57.009998,57.590000,55.954170,26075400
2016-09-02,57.669998,58.189999,57.419998,57.669998,56.031902,18900500
2016-09-06,57.779999,57.799999,57.209999,57.610001,55.973610,16278400
2016-09-07,57.470001,57.840000,57.410000,57.660000,56.022186,17493400
2016-09-08,57.630001,57.790001,57.180000,57.430000,55.798717,19972500
2016-09-09,56.790001,57.520000,56.209999,56.209999,54.613373,35113900
2016-09-12,56.000000,57.209999,55.610001,57.049999,55.429512,29303000
2016-09-13,56.500000,56.650002,56.049999,56.529999,54.924282,30130200
2016-09-14,56.389999,56.630001,56.029999,56.259998,54.661953,24062500
2016-09-15,56.150002,57.349998,55.980000,57.189999,55.565536,26847000
2016-09-16,57.630001,57.630001,56.750000,57.250000,55.623837,44607000
2016-09-19,57.270000,57.750000,56.849998,56.930000,55.312923,20879200
2016-09-20,57.349998,57.349998,56.750000,56.810001,55.196335,17384000
2016-09-21,57.509998,57.849998,57.080002,57.759998,56.119339,33707300
2016-09-22,57.919998,58.000000,57.630001,57.820000,56.177639,19822200
2016-09-23,57.869999,57.910000,57.380001,57.430000,55.798717,19955300
2016-09-26,57.080002,57.139999,56.830002,56.900002,55.283775,21688700
2016-09-27,56.930000,58.060001,56.680000,57.950001,56.303947,28065100
2016-09-28,57.880001,58.060001,57.669998,58.029999,56.381680,20536400
2016-09-29,57.810001,58.169998,57.209999,57.400002,55.769569,25463500
2016-09-30,57.570000,57.770000,57.340000,57.599998,55.963890,29910800
2016-10-03,57.410000,57.549999,57.060001,57.419998,55.789005,19189500
2016-10-04,57.270000,57.599998,56.970001,57.240002,55.614113,20085900
2016-10-05,57.290001,57.959999,57.259998,57.639999,56.002754,16726400
2016-10-06,57.740002,57.860001,57.279999,57.740002,56.099922,16212600
2016-10-07,57.849998,57.980000,57.419998,57.799999,56.158211,20089000
2016-10-10,57.910000,58.389999,57.869999,58.040001,56.391392,18084400
2016-10-11,57.889999,58.020000,56.889999,57.189999,55.565536,26497400
2016-10-12,57.110001,57.270000,56.400002,57.110001,55.487808,22177500
2016-10-13,56.700001,57.299999,56.320000,56.919998,55.303200,25313700
2016-10-14,57.119999,57.740002,57.119999,57.419998,55.789005,27402500
2016-10-17,57.360001,57.459999,56.869999,57.220001,55.594688,23830000
2016-10-18,57.529999,57.950001,57.410000,57.660000,56.022186,18631500
2016-10-19,57.470001,57.840000,57.400002,57.529999,55.895878,22878400
2016-10-20,57.500000,57.520000,56.660000,57.250000,55.623837,49455600
2016-10-21,60.279999,60.450001,59.490002,59.660000,57.965378,80032200
2016-10-24,59.939999,61.000000,59.930000,61.000000,59.267319,54067000
2016-10-25,60.849998,61.369999,60.799999,60.990002,59.257599,35137200
2016-10-26,60.810001,61.200001,60.470001,60.630001,58.907825,29911600
2016-10-27,60.610001,60.830002,60.090000,60.099998,58.392879,28479900
2016-10-28,60.009998,60.520000,59.580002,59.869999,58.169415,33574700
2016-10-31,60.160000,60.419998,59.919998,59.919998,58.217987,26434700
2016-11-01,59.970001,60.020000,59.250000,59.799999,58.101402,24533000
2016-11-02,59.820000,59.930000,59.299999,59.430000,57.741913,22147000
2016-11-03,59.529999,59.639999,59.110001,59.209999,57.528156,21600400
2016-11-04,58.650002,59.279999,58.520000,58.709999,57.042362,28697000
2016-11-07,59.779999,60.520000,59.779999,60.419998,58.703793,31664800
2016-11-08,60.549999,60.779999,60.150002,60.470001,58.752369,22862000
2016-11-09,60.000000,60.590000,59.200001,60.169998,58.460888,49632500
2016-11-10,60.480000,60.490002,57.630001,58.700001,57.032646,57822400
2016-11-11,58.230000,59.119999,58.009998,59.020000,57.343555,38767800
2016-11-14,59.020000,59.080002,57.279999,58.119999,56.469116,40861900
2016-11-15,58.330002,59.490002,58.320000,58.869999,57.584217,35904100
2016-11-16,58.939999,59.660000,58.810001,59.650002,58.347187,26851400
2016-11-17,60.410000,60.950001,59.970001,60.639999,59.315563,32132700
2016-11-18,60.779999,61.139999,60.299999,60.349998,59.031898,27686300
2016-11-21,60.500000,60.970001,60.419998,60.860001,59.530758,19652600
2016-11-22,60.980000,61.259998,60.810001,61.119999,59.785076,23206700
2016-11-23,61.009998,61.099998,60.250000,60.400002,59.080803,21847200
2016-11-25,60.299999,60.529999,60.130001,60.529999,59.207962,8409600
2016-11-28,60.340000,61.020000,60.209999,60.610001,59.286217,20732600
2016-11-29,60.650002,61.410000,60.520000,61.090000,59.755737,22366700
2016-11-30,60.860001,61.180000,60.220001,60.259998,58.943859,34655400
2016-12-01,60.110001,60.150002,58.939999,59.200001,57.907009,34542100
